PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0158 | Return:    118.7 | Loss:  -21874.475 | DR: 0.943 | Γ: 1.764 | π: 0.468
Ep 0159 | Return:    148.6 | Loss:   44620.086 | DR: 0.961 | Γ: 1.775 | π: 0.467
Ep 0160 | Return:    110.3 | Loss: -279379.188 | DR: 0.934 | Γ: 1.661 | π: 0.474
Ep 0161 | Return:    119.1 | Loss: -316057.500 | DR: 0.933 | Γ: 1.680 | π: 0.473
Ep 0162 | Return:    122.8 | Loss: -612693.750 | DR: 0.940 | Γ: 1.753 | π: 0.470
Ep 0163 | Return:    109.2 | Loss: -137666.234 | DR: 0.942 | Γ: 1.732 | π: 0.470
Ep 0164 | Return:    138.5 | Loss: -1707542.750 | DR: 0.918 | Γ: 1.794 | π: 0.468
Ep 0165 | Return:    110.4 | Loss: -2118582.250 | DR: 0.943 | Γ: 1.801 | π: 0.465
Ep 0166 | Return:     92.5 | Loss: -1907799.000 | DR: 0.936 | Γ: 1.676 | π: 0.473
Ep 0167 | Return:    149.0 | Loss:  575510.625 | DR: 0.928 | Γ: 1.659 | π: 0.475
Ep 0168 | Return:    127.6 | Loss: -640189.375 | DR: 0.952 | Γ: 1.667 | π: 0.474
Ep 0169 | Return:    209.4 | Loss: -2844160.750 | DR: 0.946 | Γ: 1.737 | π: 0.469
Ep 0170 | Return:    137.4 | Loss: -3742837.000 | DR: 0.935 | Γ: 1.738 | π: 0.469
Ep 0171 | Return:    104.3 | Loss: -3726627.500 | DR: 0.963 | Γ: 1.733 | π: 0.467
Ep 0172 | Return:     90.0 | Loss: -1769683.500 | DR: 0.927 | Γ: 1.753 | π: 0.474
Ep 0173 | Return:    194.2 | Loss:  323585.125 | DR: 0.969 | Γ: 1.695 | π: 0.469
Ep 0174 | Return:    173.0 | Loss: -1958354.875 | DR: 0.938 | Γ: 1.778 | π: 0.468
Ep 0175 | Return:    186.6 | Loss: -5958324.000 | DR: 0.960 | Γ: 1.725 | π: 0.469
    ↳ Ratchet triggered at ep 175: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.824e-04
Ep 0176 | Return:    257.8 | Loss:    -120.622 | DR: 0.936 | Γ: 1.771 | π: 0.468
Ep 0177 | Return:    115.6 | Loss:    -214.011 | DR: 0.954 | Γ: 1.736 | π: 0.469
Ep 0178 | Return:    135.6 | Loss:    -641.187 | DR: 0.939 | Γ: 1.738 | π: 0.468
Ep 0179 | Return:    125.1 | Loss:   -1792.741 | DR: 0.955 | Γ: 1.766 | π: 0.466
Ep 0180 | Return:    155.5 | Loss:     611.408 | DR: 0.946 | Γ: 1.754 | π: 0.466
Ep 0181 | Return:    116.8 | Loss:   -9408.965 | DR: 0.943 | Γ: 1.695 | π: 0.471
Ep 0182 | Return:    105.7 | Loss:  -68162.312 | DR: 0.959 | Γ: 1.748 | π: 0.468
Ep 0183 | Return:    140.9 | Loss: -289306.500 | DR: 0.943 | Γ: 1.759 | π: 0.468
Ep 0184 | Return:    116.4 | Loss: -389241.750 | DR: 0.944 | Γ: 1.697 | π: 0.472
Ep 0185 | Return:    109.3 | Loss: -1405811.750 | DR: 0.928 | Γ: 1.679 | π: 0.475
Ep 0186 | Return:    108.9 | Loss: -895159.625 | DR: 0.940 | Γ: 1.768 | π: 0.469
Ep 0187 | Return:    134.9 | Loss:  351861.281 | DR: 0.951 | Γ: 1.641 | π: 0.473
Ep 0188 | Return:    169.3 | Loss: -178658.859 | DR: 0.970 | Γ: 1.757 | π: 0.467
Ep 0189 | Return:    154.8 | Loss: -712025.438 | DR: 0.947 | Γ: 1.725 | π: 0.470
Ep 0190 | Return:     84.1 | Loss: -599403.000 | DR: 0.950 | Γ: 1.801 | π: 0.465
Ep 0191 | Return:    124.6 | Loss: -2363320.000 | DR: 0.940 | Γ: 1.712 | π: 0.473
Ep 0192 | Return:    113.5 | Loss: -1531919.375 | DR: 0.922 | Γ: 1.675 | π: 0.473
Ep 0193 | Return:     95.8 | Loss: -1856869.750 | DR: 0.952 | Γ: 1.664 | π: 0.473
Ep 0194 | Return:    170.5 | Loss: -2565194.500 | DR: 0.959 | Γ: 1.705 | π: 0.471
Ep 0195 | Return:    151.7 | Loss:  176296.625 | DR: 0.951 | Γ: 1.699 | π: 0.472
Ep 0196 | Return:    100.2 | Loss: -3300027.000 | DR: 0.950 | Γ: 1.714 | π: 0.469
