PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum.py
[Pendulum] Ep 0260 | R_raw=-1175.33 | len=200 | loss=-0.013
[Pendulum] Ep 0261 | R_raw=-1217.99 | len=200 | loss=-0.043
[Pendulum] Ep 0262 | R_raw=-1138.27 | len=200 | loss=-0.055
[Pendulum] Ep 0263 | R_raw=-1487.37 | len=200 | loss=-0.215
[Pendulum] Ep 0264 | R_raw=-1240.85 | len=200 | loss=-0.010
[Pendulum] Ep 0265 | R_raw=-1058.93 | len=200 | loss=-0.011
[Pendulum] Ep 0266 | R_raw=-1125.43 | len=200 | loss=0.057
[Pendulum] Ep 0267 | R_raw=-1188.34 | len=200 | loss=0.003
[Pendulum] Ep 0268 | R_raw=-1098.06 | len=200 | loss=0.008
[Pendulum] Ep 0269 | R_raw=-1208.51 | len=200 | loss=0.002
[Pendulum] Ep 0270 | R_raw=-1178.02 | len=200 | loss=0.009
[Pendulum] Ep 0271 | R_raw=-1125.84 | len=200 | loss=-0.053
[Pendulum] Ep 0272 | R_raw=-1152.43 | len=200 | loss=-0.122
[Pendulum] Ep 0273 | R_raw=-1191.19 | len=200 | loss=0.022
[Pendulum] Ep 0274 | R_raw=-1285.91 | len=200 | loss=0.054
[Pendulum] Ep 0275 | R_raw=-1295.88 | len=200 | loss=-0.039
[Pendulum] Ep 0276 | R_raw=-1053.24 | len=200 | loss=0.001
[Pendulum] Ep 0277 | R_raw=-1130.90 | len=200 | loss=-0.050
[Pendulum] Ep 0278 | R_raw=-1133.82 | len=200 | loss=0.016
[Pendulum] Ep 0279 | R_raw=-938.60 | len=200 | loss=-0.003
[Pendulum] Ep 0280 | R_raw=-1331.77 | len=200 | loss=-0.125
[Pendulum] Ep 0281 | R_raw=-1303.53 | len=200 | loss=-0.031
[Pendulum] Ep 0282 | R_raw=-1215.64 | len=200 | loss=0.013
[Pendulum] Ep 0283 | R_raw=-1220.36 | len=200 | loss=-0.040
[Pendulum] Ep 0284 | R_raw=-1150.63 | len=200 | loss=0.012
[Pendulum] Ep 0285 | R_raw=-1138.17 | len=200 | loss=0.043
[Pendulum] Ep 0286 | R_raw=-1172.84 | len=200 | loss=-0.033
[Pendulum] Ep 0287 | R_raw=-1251.31 | len=200 | loss=-0.077
[Pendulum] Ep 0288 | R_raw=-1215.57 | len=200 | loss=-0.047
[Pendulum] Ep 0289 | R_raw=-1133.87 | len=200 | loss=0.032
[Pendulum] Ep 0290 | R_raw=-1060.16 | len=200 | loss=0.052
[Pendulum] Ep 0291 | R_raw=-1352.77 | len=200 | loss=-0.004
[Pendulum] Ep 0292 | R_raw=-1277.02 | len=200 | loss=-0.116
[Pendulum] Ep 0293 | R_raw=-1167.81 | len=200 | loss=-0.000
[Pendulum] Ep 0294 | R_raw=-1246.05 | len=200 | loss=-0.009
[Pendulum] Ep 0295 | R_raw=-1285.21 | len=200 | loss=-0.046
[Pendulum] Ep 0296 | R_raw=-1279.76 | len=200 | loss=-0.046
[Pendulum] Ep 0297 | R_raw=-1242.14 | len=200 | loss=0.022
[Pendulum] Ep 0298 | R_raw=-1291.37 | len=200 | loss=-0.062
[Pendulum] Ep 0299 | R_raw=-1233.34 | len=200 | loss=-0.035
[Pendulum] Ep 0300 | R_raw=-1266.70 | len=200 | loss=-0.076
[Pendulum] Ep 0301 | R_raw=-1206.80 | len=200 | loss=0.001
[Pendulum] Ep 0302 | R_raw=-1331.33 | len=200 | loss=-0.127
[Pendulum] Ep 0303 | R_raw=-1304.66 | len=200 | loss=-0.069
[Pendulum] Ep 0304 | R_raw=-1342.39 | len=200 | loss=0.104
[Pendulum] Ep 0305 | R_raw=-1191.56 | len=200 | loss=-0.015
[Pendulum] Ep 0306 | R_raw=-1194.66 | len=200 | loss=-0.145
[Pendulum] Ep 0307 | R_raw=-1244.27 | len=200 | loss=0.024
[Pendulum] Ep 0308 | R_raw=-1169.61 | len=200 | loss=-0.055
[Pendulum] Ep 0309 | R_raw=-1300.77 | len=200 | loss=-0.004
[Pendulum] Ep 0310 | R_raw=-1602.33 | len=200 | loss=0.015
[Pendulum] Ep 0311 | R_raw=-1199.95 | len=200 | loss=-0.096
[Pendulum] Ep 0312 | R_raw=-1204.39 | len=200 | loss=0.036
[Pendulum] Ep 0313 | R_raw=-1127.23 | len=200 | loss=0.112
[Pendulum] Ep 0314 | R_raw=-1174.14 | len=200 | loss=-0.045
[Pendulum] Ep 0315 | R_raw=-1530.18 | len=200 | loss=-0.004
[Pendulum] Ep 0316 | R_raw=-1217.12 | len=200 | loss=-0.121
[Pendulum] Ep 0317 | R_raw=-1156.01 | len=200 | loss=-0.011
[Pendulum] Ep 0318 | R_raw=-1168.90 | len=200 | loss=-0.028
[Pendulum] Ep 0319 | R_raw=-1108.67 | len=200 | loss=0.021
[Pendulum] Ep 0320 | R_raw=-1168.28 | len=200 | loss=-0.042
[Pendulum] Ep 0321 | R_raw=-1211.08 | len=200 | loss=-0.024
[Pendulum] Ep 0322 | R_raw=-1200.72 | len=200 | loss=-0.043
[Pendulum] Ep 0323 | R_raw=-1146.03 | len=200 | loss=-0.027
[Pendulum] Ep 0324 | R_raw=-1232.29 | len=200 | loss=-0.021
[Pendulum] Ep 0325 | R_raw=-939.89 | len=200 | loss=-0.054
[Pendulum] Ep 0326 | R_raw=-1167.43 | len=200 | loss=0.010
[Pendulum] Ep 0327 | R_raw=-1235.88 | len=200 | loss=0.054
[Pendulum] Ep 0328 | R_raw=-1241.29 | len=200 | loss=-0.080
[Pendulum] Ep 0329 | R_raw=-1366.59 | len=200 | loss=0.050
[Pendulum] Ep 0330 | R_raw=-933.87 | len=200 | loss=-0.023
[Pendulum] Ep 0331 | R_raw=-1219.50 | len=200 | loss=0.030
[Pendulum] Ep 0332 | R_raw=-1040.51 | len=200 | loss=0.080
[Pendulum] Ep 0333 | R_raw=-1128.63 | len=200 | loss=-0.085
[Pendulum] Ep 0334 | R_raw=-1298.53 | len=200 | loss=-0.031
[Pendulum] Ep 0335 | R_raw=-1274.43 | len=200 | loss=0.047
[Pendulum] Ep 0336 | R_raw=-1169.15 | len=200 | loss=-0.109
[Pendulum] Ep 0337 | R_raw=-1218.11 | len=200 | loss=-0.050
[Pendulum] Ep 0338 | R_raw=-1359.31 | len=200 | loss=-0.077
[Pendulum] Ep 0339 | R_raw=-1150.40 | len=200 | loss=-0.021
[Pendulum] Ep 0340 | R_raw=-1362.03 | len=200 | loss=-0.067
