PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[Pendulum-v1] Ep 0104 | R_raw=-1215.26 | len=200 | loss=0.068
[Pendulum-v1] Ep 0105 | R_raw=-1011.14 | len=200 | loss=-0.083
[Pendulum-v1] Ep 0106 | R_raw=-1532.71 | len=200 | loss=0.029
[Pendulum-v1] Ep 0107 | R_raw=-1515.25 | len=200 | loss=-0.034
[Pendulum-v1] Ep 0108 | R_raw=-1168.53 | len=200 | loss=-0.039
[Pendulum-v1] Ep 0109 | R_raw=-1226.70 | len=200 | loss=-0.090
[Pendulum-v1] Ep 0110 | R_raw=-1224.88 | len=200 | loss=-0.025
[Pendulum-v1] Ep 0111 | R_raw=-1202.93 | len=200 | loss=-0.082
[Pendulum-v1] Ep 0112 | R_raw=-1357.99 | len=200 | loss=-0.150
[Pendulum-v1] Ep 0113 | R_raw=-1167.04 | len=200 | loss=-0.100
[Pendulum-v1] Ep 0114 | R_raw=-1209.18 | len=200 | loss=-0.102
[Pendulum-v1] Ep 0115 | R_raw=-1244.83 | len=200 | loss=-0.006
[Pendulum-v1] Ep 0116 | R_raw=-1353.42 | len=200 | loss=-0.043
[Pendulum-v1] Ep 0117 | R_raw=-1151.66 | len=200 | loss=-0.148
[Pendulum-v1] Ep 0118 | R_raw=-1395.21 | len=200 | loss=-0.196
[Pendulum-v1] Ep 0119 | R_raw=-1263.80 | len=200 | loss=-0.110
[Pendulum-v1] Ep 0120 | R_raw=-1296.36 | len=200 | loss=-0.256
[Pendulum-v1] Ep 0121 | R_raw=-1318.53 | len=200 | loss=-0.029
[Pendulum-v1] Ep 0122 | R_raw=-1094.36 | len=200 | loss=-0.186
[Pendulum-v1] Ep 0123 | R_raw=-1256.65 | len=200 | loss=-0.324
[Pendulum-v1] Ep 0124 | R_raw=-1252.60 | len=200 | loss=0.057
[Pendulum-v1] Ep 0125 | R_raw=-1266.29 | len=200 | loss=0.164
[Pendulum-v1] Ep 0126 | R_raw=-1325.83 | len=200 | loss=-0.080
[Pendulum-v1] Ep 0127 | R_raw=-1458.62 | len=200 | loss=-0.108
[Pendulum-v1] Ep 0128 | R_raw=-1315.54 | len=200 | loss=-0.031
[Pendulum-v1] Ep 0129 | R_raw=-1365.78 | len=200 | loss=-0.073
[Pendulum-v1] Ep 0130 | R_raw=-1367.15 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0131 | R_raw=-1328.71 | len=200 | loss=0.001
[Pendulum-v1] Ep 0132 | R_raw=-1216.04 | len=200 | loss=-0.334
[Pendulum-v1] Ep 0133 | R_raw=-1180.90 | len=200 | loss=-0.153
[Pendulum-v1] Ep 0134 | R_raw=-1486.17 | len=200 | loss=-0.080
[Pendulum-v1] Ep 0135 | R_raw=-1178.90 | len=200 | loss=0.105
[Pendulum-v1] Ep 0136 | R_raw=-1719.68 | len=200 | loss=0.020
[Pendulum-v1] Ep 0137 | R_raw=-1127.38 | len=200 | loss=-0.284
