PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0166 | R_raw=-1326.08 | len=200 | actor_loss=-0.056 | critic_loss=88285.289
[Pendulum-Min] Ep 0167 | R_raw=-1389.82 | len=200 | actor_loss=-0.024 | critic_loss=92295.016
[Pendulum-Min] Ep 0168 | R_raw=-1466.88 | len=200 | actor_loss=0.017 | critic_loss=101591.039
[Pendulum-Min] Ep 0169 | R_raw=-1354.59 | len=200 | actor_loss=-0.080 | critic_loss=94685.734
[Pendulum-Min] Ep 0170 | R_raw=-1421.51 | len=200 | actor_loss=0.037 | critic_loss=96333.078
[Pendulum-Min] Ep 0171 | R_raw=-1492.11 | len=200 | actor_loss=0.059 | critic_loss=108572.906
[Pendulum-Min] Ep 0172 | R_raw=-1444.84 | len=200 | actor_loss=0.037 | critic_loss=99052.766
[Pendulum-Min] Ep 0173 | R_raw=-1525.18 | len=200 | actor_loss=-0.015 | critic_loss=111420.578
[Pendulum-Min] Ep 0174 | R_raw=-1324.33 | len=200 | actor_loss=0.004 | critic_loss=80114.703
[Pendulum-Min] Ep 0175 | R_raw=-1431.10 | len=200 | actor_loss=-0.038 | critic_loss=96181.461
[Pendulum-Min] Ep 0176 | R_raw=-1359.53 | len=200 | actor_loss=0.008 | critic_loss=87624.984
[Pendulum-Min] Ep 0177 | R_raw=-1355.78 | len=200 | actor_loss=-0.034 | critic_loss=85121.016
[Pendulum-Min] Ep 0178 | R_raw=-1348.88 | len=200 | actor_loss=0.038 | critic_loss=90201.141
[Pendulum-Min] Ep 0179 | R_raw=-1370.89 | len=200 | actor_loss=0.000 | critic_loss=89013.430
[Pendulum-Min] Ep 0180 | R_raw=-1355.81 | len=200 | actor_loss=0.001 | critic_loss=77316.336
[Pendulum-Min] Ep 0181 | R_raw=-1321.24 | len=200 | actor_loss=0.091 | critic_loss=77600.016
[Pendulum-Min] Ep 0182 | R_raw=-1291.90 | len=200 | actor_loss=0.041 | critic_loss=83099.539
[Pendulum-Min] Ep 0183 | R_raw=-1285.92 | len=200 | actor_loss=-0.110 | critic_loss=83227.836
[Pendulum-Min] Ep 0184 | R_raw=-1427.06 | len=200 | actor_loss=-0.063 | critic_loss=81266.430
[Pendulum-Min] Ep 0185 | R_raw=-1396.74 | len=200 | actor_loss=-0.022 | critic_loss=94196.406
[Pendulum-Min] Ep 0186 | R_raw=-1384.60 | len=200 | actor_loss=0.052 | critic_loss=90839.141
[Pendulum-Min] Ep 0187 | R_raw=-1299.66 | len=200 | actor_loss=0.003 | critic_loss=77336.320
[Pendulum-Min] Ep 0188 | R_raw=-1513.36 | len=200 | actor_loss=0.039 | critic_loss=105198.797
[Pendulum-Min] Ep 0189 | R_raw=-1498.82 | len=200 | actor_loss=-0.037 | critic_loss=94149.516
[Pendulum-Min] Ep 0190 | R_raw=-1414.89 | len=200 | actor_loss=0.018 | critic_loss=92986.938
[Pendulum-Min] Ep 0191 | R_raw=-1404.55 | len=200 | actor_loss=-0.022 | critic_loss=94391.000
[Pendulum-Min] Ep 0192 | R_raw=-1193.27 | len=200 | actor_loss=-0.009 | critic_loss=67507.250
[Pendulum-Min] Ep 0193 | R_raw=-1348.57 | len=200 | actor_loss=-0.010 | critic_loss=85991.516
[Pendulum-Min] Ep 0194 | R_raw=-1228.40 | len=200 | actor_loss=0.075 | critic_loss=74176.555
[Pendulum-Min] Ep 0195 | R_raw=-1294.82 | len=200 | actor_loss=0.026 | critic_loss=81331.773
[Pendulum-Min] Ep 0196 | R_raw=-1305.83 | len=200 | actor_loss=-0.006 | critic_loss=81862.828
[Pendulum-Min] Ep 0197 | R_raw=-1371.57 | len=200 | actor_loss=-0.134 | critic_loss=88670.539
[Pendulum-Min] Ep 0198 | R_raw=-1319.20 | len=200 | actor_loss=0.038 | critic_loss=81480.359
[Pendulum-Min] Ep 0199 | R_raw=-1213.23 | len=200 | actor_loss=0.140 | critic_loss=72953.836
[Pendulum-Min] Ep 0200 | R_raw=-1405.78 | len=200 | actor_loss=-0.011 | critic_loss=80531.336
[Pendulum-Min] Ep 0201 | R_raw=-1150.67 | len=200 | actor_loss=-0.016 | critic_loss=62525.668
[Pendulum-Min] Ep 0202 | R_raw=-1185.57 | len=200 | actor_loss=0.010 | critic_loss=63969.945
[Pendulum-Min] Ep 0203 | R_raw=-1356.18 | len=200 | actor_loss=-0.059 | critic_loss=84855.188
[Pendulum-Min] Ep 0204 | R_raw=-1244.70 | len=200 | actor_loss=0.071 | critic_loss=76853.234
[Pendulum-Min] Ep 0205 | R_raw=-1304.29 | len=200 | actor_loss=0.120 | critic_loss=82261.195
[Pendulum-Min] Ep 0206 | R_raw=-1207.10 | len=200 | actor_loss=-0.020 | critic_loss=70726.742
[Pendulum-Min] Ep 0207 | R_raw=-1289.24 | len=200 | actor_loss=-0.026 | critic_loss=73421.828
[Pendulum-Min] Ep 0208 | R_raw=-1308.06 | len=200 | actor_loss=0.105 | critic_loss=83083.070
[Pendulum-Min] Ep 0209 | R_raw=-1263.54 | len=200 | actor_loss=-0.032 | critic_loss=76291.688
[Pendulum-Min] Ep 0210 | R_raw=-1285.67 | len=200 | actor_loss=0.087 | critic_loss=79067.125
[Pendulum-Min] Ep 0211 | R_raw=-1283.36 | len=200 | actor_loss=0.065 | critic_loss=69358.594
[Pendulum-Min] Ep 0212 | R_raw=-1089.08 | len=200 | actor_loss=0.009 | critic_loss=54311.648
[Pendulum-Min] Ep 0213 | R_raw=-1310.04 | len=200 | actor_loss=0.046 | critic_loss=86092.367
[Pendulum-Min] Ep 0214 | R_raw=-1213.39 | len=200 | actor_loss=0.101 | critic_loss=68300.227
