PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 4 Ep 20/30 GlobalEp 110 | R_raw=-1025.54 | len=200 | actor_loss=0.097 | critic_loss=50074.273
[Train] Gen 4 Ep 21/30 GlobalEp 111 | R_raw=-1069.98 | len=200 | actor_loss=0.012 | critic_loss=53946.703
[Train] Gen 4 Ep 22/30 GlobalEp 112 | R_raw=-1016.61 | len=200 | actor_loss=0.017 | critic_loss=51881.285
[Train] Gen 4 Ep 23/30 GlobalEp 113 | R_raw=-900.38 | len=200 | actor_loss=-0.032 | critic_loss=41047.898
[Train] Gen 4 Ep 24/30 GlobalEp 114 | R_raw=-1380.94 | len=200 | actor_loss=-0.004 | critic_loss=89945.180
[Train] Gen 4 Ep 25/30 GlobalEp 115 | R_raw=-899.35 | len=200 | actor_loss=0.002 | critic_loss=37066.316
[Train] Gen 4 Ep 26/30 GlobalEp 116 | R_raw=-1289.82 | len=200 | actor_loss=0.000 | critic_loss=81263.961
[Train] Gen 4 Ep 27/30 GlobalEp 117 | R_raw=-1382.63 | len=200 | actor_loss=0.055 | critic_loss=90500.859
[Train] Gen 4 Ep 28/30 GlobalEp 118 | R_raw=-884.88 | len=200 | actor_loss=0.136 | critic_loss=39896.633
[Train] Gen 4 Ep 29/30 GlobalEp 119 | R_raw=-1516.33 | len=200 | actor_loss=-0.038 | critic_loss=103405.336
[Train] Gen 4 Ep 30/30 GlobalEp 120 | R_raw=-979.96 | len=200 | actor_loss=-0.023 | critic_loss=47302.117
[Eval] Gen 4 | avg_train=-1145.07 | avg_eval=-1261.73 | best_eval=-1261.30
[REJECT] Generation discarded; keeping previous averaged elite.

=== Generation 5/50 ===
[Train] Gen 5 Ep 1/30 GlobalEp 121 | R_raw=-1635.12 | len=200 | actor_loss=-0.007 | critic_loss=129187.938
[Train] Gen 5 Ep 2/30 GlobalEp 122 | R_raw=-1078.67 | len=200 | actor_loss=0.026 | critic_loss=57879.078
[Train] Gen 5 Ep 3/30 GlobalEp 123 | R_raw=-1170.14 | len=200 | actor_loss=-0.077 | critic_loss=66361.711
[Train] Gen 5 Ep 4/30 GlobalEp 124 | R_raw=-767.49 | len=200 | actor_loss=0.050 | critic_loss=26402.209
[Train] Gen 5 Ep 5/30 GlobalEp 125 | R_raw=-1132.27 | len=200 | actor_loss=-0.030 | critic_loss=61143.559
[Train] Gen 5 Ep 6/30 GlobalEp 126 | R_raw=-766.13 | len=200 | actor_loss=-0.065 | critic_loss=26893.771
[Train] Gen 5 Ep 7/30 GlobalEp 127 | R_raw=-1020.12 | len=200 | actor_loss=0.045 | critic_loss=48954.176
[Train] Gen 5 Ep 8/30 GlobalEp 128 | R_raw=-989.93 | len=200 | actor_loss=-0.045 | critic_loss=46866.699
[Train] Gen 5 Ep 9/30 GlobalEp 129 | R_raw=-1476.13 | len=200 | actor_loss=-0.034 | critic_loss=101960.547
[Train] Gen 5 Ep 10/30 GlobalEp 130 | R_raw=-1813.50 | len=200 | actor_loss=-0.063 | critic_loss=157121.531
[Train] Gen 5 Ep 11/30 GlobalEp 131 | R_raw=-974.43 | len=200 | actor_loss=0.081 | critic_loss=41038.469
[Train] Gen 5 Ep 12/30 GlobalEp 132 | R_raw=-1024.12 | len=200 | actor_loss=-0.040 | critic_loss=51408.090
[Train] Gen 5 Ep 13/30 GlobalEp 133 | R_raw=-947.17 | len=200 | actor_loss=-0.028 | critic_loss=42066.492
[Train] Gen 5 Ep 14/30 GlobalEp 134 | R_raw=-964.87 | len=200 | actor_loss=-0.075 | critic_loss=49650.957
[Train] Gen 5 Ep 15/30 GlobalEp 135 | R_raw=-1187.18 | len=200 | actor_loss=-0.083 | critic_loss=64807.719
[Train] Gen 5 Ep 16/30 GlobalEp 136 | R_raw=-1276.16 | len=200 | actor_loss=0.013 | critic_loss=77280.812
[Train] Gen 5 Ep 17/30 GlobalEp 137 | R_raw=-1005.49 | len=200 | actor_loss=0.030 | critic_loss=47368.355
[Train] Gen 5 Ep 18/30 GlobalEp 138 | R_raw=-1775.09 | len=200 | actor_loss=0.038 | critic_loss=149840.062
[Train] Gen 5 Ep 19/30 GlobalEp 139 | R_raw=-1750.61 | len=200 | actor_loss=0.036 | critic_loss=149856.844
[Train] Gen 5 Ep 20/30 GlobalEp 140 | R_raw=-1608.63 | len=200 | actor_loss=-0.085 | critic_loss=118877.820
[Train] Gen 5 Ep 21/30 GlobalEp 141 | R_raw=-1015.14 | len=200 | actor_loss=-0.006 | critic_loss=49657.219
[Train] Gen 5 Ep 22/30 GlobalEp 142 | R_raw=-1005.64 | len=200 | actor_loss=-0.059 | critic_loss=49785.070
[Train] Gen 5 Ep 23/30 GlobalEp 143 | R_raw=-881.30 | len=200 | actor_loss=0.010 | critic_loss=39116.758
[Train] Gen 5 Ep 24/30 GlobalEp 144 | R_raw=-1644.20 | len=200 | actor_loss=-0.017 | critic_loss=129672.438
[Train] Gen 5 Ep 25/30 GlobalEp 145 | R_raw=-1004.72 | len=200 | actor_loss=-0.060 | critic_loss=47994.609
[Train] Gen 5 Ep 26/30 GlobalEp 146 | R_raw=-1589.83 | len=200 | actor_loss=-0.048 | critic_loss=121646.656
[Train] Gen 5 Ep 27/30 GlobalEp 147 | R_raw=-990.96 | len=200 | actor_loss=-0.031 | critic_loss=46688.938
[Train] Gen 5 Ep 28/30 GlobalEp 148 | R_raw=-955.28 | len=200 | actor_loss=-0.046 | critic_loss=44215.402
[Train] Gen 5 Ep 29/30 GlobalEp 149 | R_raw=-1158.21 | len=200 | actor_loss=0.009 | critic_loss=67105.289
[Train] Gen 5 Ep 30/30 GlobalEp 150 | R_raw=-1644.65 | len=200 | actor_loss=-0.096 | critic_loss=126644.398
[Eval] Gen 5 | avg_train=-1208.44 | avg_eval=-1152.39 | best_eval=-1261.30
[SELECT] New elite (improved lineage) with avg_eval=-1152.39

=== Generation 6/50 ===
[Train] Gen 6 Ep 1/30 GlobalEp 151 | R_raw=-1553.18 | len=200 | actor_loss=-0.005 | critic_loss=111469.641
[Train] Gen 6 Ep 2/30 GlobalEp 152 | R_raw=-1794.65 | len=200 | actor_loss=-0.039 | critic_loss=154646.938
[Train] Gen 6 Ep 3/30 GlobalEp 153 | R_raw=-1026.16 | len=200 | actor_loss=-0.146 | critic_loss=48889.719
[Train] Gen 6 Ep 4/30 GlobalEp 154 | R_raw=-1697.28 | len=200 | actor_loss=-0.030 | critic_loss=133435.125
[Train] Gen 6 Ep 5/30 GlobalEp 155 | R_raw=-1035.21 | len=200 | actor_loss=-0.001 | critic_loss=50974.789
[Train] Gen 6 Ep 6/30 GlobalEp 156 | R_raw=-887.06 | len=200 | actor_loss=-0.033 | critic_loss=39315.559
[Train] Gen 6 Ep 7/30 GlobalEp 157 | R_raw=-978.71 | len=200 | actor_loss=0.033 | critic_loss=43198.676
[Train] Gen 6 Ep 8/30 GlobalEp 158 | R_raw=-976.25 | len=200 | actor_loss=0.009 | critic_loss=44994.598
[Train] Gen 6 Ep 9/30 GlobalEp 159 | R_raw=-1068.03 | len=200 | actor_loss=-0.001 | critic_loss=53773.789
[Train] Gen 6 Ep 10/30 GlobalEp 160 | R_raw=-1401.98 | len=200 | actor_loss=0.037 | critic_loss=94508.008
[Train] Gen 6 Ep 11/30 GlobalEp 161 | R_raw=-1157.70 | len=200 | actor_loss=-0.004 | critic_loss=62216.340
[Train] Gen 6 Ep 12/30 GlobalEp 162 | R_raw=-949.80 | len=200 | actor_loss=-0.014 | critic_loss=43966.445
[Train] Gen 6 Ep 13/30 GlobalEp 163 | R_raw=-1610.12 | len=200 | actor_loss=0.051 | critic_loss=126644.516
[Train] Gen 6 Ep 14/30 GlobalEp 164 | R_raw=-1419.91 | len=200 | actor_loss=0.129 | critic_loss=96412.141
[Train] Gen 6 Ep 15/30 GlobalEp 165 | R_raw=-1183.42 | len=200 | actor_loss=-0.005 | critic_loss=63391.828
[Train] Gen 6 Ep 16/30 GlobalEp 166 | R_raw=-992.15 | len=200 | actor_loss=-0.091 | critic_loss=48550.348
[Train] Gen 6 Ep 17/30 GlobalEp 167 | R_raw=-1485.12 | len=200 | actor_loss=0.057 | critic_loss=103828.078
[Train] Gen 6 Ep 18/30 GlobalEp 168 | R_raw=-1324.00 | len=200 | actor_loss=0.034 | critic_loss=82577.555
[Train] Gen 6 Ep 19/30 GlobalEp 169 | R_raw=-1208.55 | len=200 | actor_loss=-0.032 | critic_loss=69997.375
[Train] Gen 6 Ep 20/30 GlobalEp 170 | R_raw=-1012.36 | len=200 | actor_loss=0.013 | critic_loss=48396.543
[Train] Gen 6 Ep 21/30 GlobalEp 171 | R_raw=-1000.66 | len=200 | actor_loss=-0.106 | critic_loss=48725.594
[Train] Gen 6 Ep 22/30 GlobalEp 172 | R_raw=-1469.44 | len=200 | actor_loss=0.046 | critic_loss=100874.320
[Train] Gen 6 Ep 23/30 GlobalEp 173 | R_raw=-870.48 | len=200 | actor_loss=-0.038 | critic_loss=36618.254
[Train] Gen 6 Ep 24/30 GlobalEp 174 | R_raw=-888.76 | len=200 | actor_loss=-0.003 | critic_loss=39658.109
[Train] Gen 6 Ep 25/30 GlobalEp 175 | R_raw=-974.21 | len=200 | actor_loss=-0.017 | critic_loss=48041.527
[Train] Gen 6 Ep 26/30 GlobalEp 176 | R_raw=-904.02 | len=200 | actor_loss=0.004 | critic_loss=39427.266
[Train] Gen 6 Ep 27/30 GlobalEp 177 | R_raw=-946.86 | len=200 | actor_loss=0.081 | critic_loss=43376.910
[Train] Gen 6 Ep 28/30 GlobalEp 178 | R_raw=-1398.12 | len=200 | actor_loss=0.039 | critic_loss=89388.281
[Train] Gen 6 Ep 29/30 GlobalEp 179 | R_raw=-1209.77 | len=200 | actor_loss=-0.022 | critic_loss=71267.781
[Train] Gen 6 Ep 30/30 GlobalEp 180 | R_raw=-1080.71 | len=200 | actor_loss=0.045 | critic_loss=53970.266
[Eval] Gen 6 | avg_train=-1183.49 | avg_eval=-1133.00 | best_eval=-1152.39
[SIDEWAYS] Lineage updated without margin (avg_eval=-1133.00)

=== Generation 7/50 ===
[Train] Gen 7 Ep 1/30 GlobalEp 181 | R_raw=-1137.85 | len=200 | actor_loss=0.081 | critic_loss=61479.148
[Train] Gen 7 Ep 2/30 GlobalEp 182 | R_raw=-1627.41 | len=200 | actor_loss=0.020 | critic_loss=125677.586
[Train] Gen 7 Ep 3/30 GlobalEp 183 | R_raw=-1395.16 | len=200 | actor_loss=-0.011 | critic_loss=87513.281
[Train] Gen 7 Ep 4/30 GlobalEp 184 | R_raw=-1508.87 | len=200 | actor_loss=-0.032 | critic_loss=106785.227
[Train] Gen 7 Ep 5/30 GlobalEp 185 | R_raw=-1031.75 | len=200 | actor_loss=-0.028 | critic_loss=55795.145
[Train] Gen 7 Ep 6/30 GlobalEp 186 | R_raw=-1602.25 | len=200 | actor_loss=0.018 | critic_loss=121764.570
[Train] Gen 7 Ep 7/30 GlobalEp 187 | R_raw=-1091.84 | len=200 | actor_loss=0.041 | critic_loss=54830.355
[Train] Gen 7 Ep 8/30 GlobalEp 188 | R_raw=-1024.62 | len=200 | actor_loss=0.050 | critic_loss=49966.391
